name,type,position_x,position_y,position_z,size_x,size_y,size_z,color
POS-0646-886-BD-67021,circle,0.684586,1.6382,0.097939,0.01,0,0,#ff0000
POS-0647-886-BD-67021,circle,0.676,1.6382,0.097797,0.01,0,0,#ff0000
POS-1102-886-BD-67021,circle,0.452001,1.98033,0.094255,0.01,0,0,#ff0000
POS-1101-886-BD-67021,circle,0.448001,1.98033,0.094246,0.01,0,0,#ff0000
POS-1117-886-BD-67021,circle,0.14746,1.9858,0.093489,0.01,0,0,#ff0000
POS-1118-886-BD-67021,circle,0.14746,1.982,0.093482,0.01,0,0,#ff0000
POS-1119-886-BD-67021,circle,0.14746,1.9898,0.093498,0.01,0,0,#ff0000
POS-0210-886-CBD-67025,circle,0.676,0.791,0.116778,0.01,0,0,#ff0000
POS-0210-886-CBD-67025,circle,0.676,0.791,0.116778,0.01,0,0,#ff0000
POS-0208-886-CBD-67025,circle,0.68555,0.799,0.116742,0.01,0,0,#ff0000
POS-0208-886-CBD-67025,circle,0.68555,0.799,0.116742,0.01,0,0,#ff0000
POS-0208-886-CBD-67025,circle,0.68555,0.799,0.116742,0.01,0,0,#ff0000
POS-0205-886-CBD-67025,circle,0.676,0.8157,0.116687,0.01,0,0,#ff0000
POS-0207-886-CBD-67025,circle,0.68555,0.807,0.116725,0.01,0,0,#ff0000
POS-0207-886-CBD-67025,circle,0.68555,0.807,0.116725,0.01,0,0,#ff0000
POS-0207-886-CBD-67025,circle,0.68555,0.807,0.116725,0.01,0,0,#ff0000
POS-0205-886-CBD-67025,circle,0.676,0.8157,0.116687,0.01,0,0,#ff0000
POS-0206-886-CBD-67025,circle,0.68555,0.814,0.116711,0.01,0,0,#ff0000
POS-0206-886-CBD-67025,circle,0.68555,0.814,0.116711,0.01,0,0,#ff0000
POS-0209-886-CBD-67025,circle,0.68555,0.792,0.116756,0.01,0,0,#ff0000
POS-0209-886-CBD-67025,circle,0.68555,0.792,0.116756,0.01,0,0,#ff0000
POS-0203-886-CBD-67025,circle,0.661999,0.8157,0.11276,0.01,0,0,#ff0000
POS-0202-886-CBD-67025,circle,0.658999,0.8157,0.112753,0.01,0,0,#ff0000
POS-0301-886-CBD-67025,circle,0.65487,0.811968,0.110237,0.01,0,0,#ff0000
POS-0301-886-CBD-67025,circle,0.65487,0.811968,0.110237,0.01,0,0,#ff0000
POS-0312-886-CBD-67026,circle,0.647274,0.811655,0.110373,0.01,0,0,#ff0000
POS-0312-886-CBD-67026,circle,0.647274,0.811655,0.110373,0.01,0,0,#ff0000
POS-0312-886-CBD-67026,circle,0.647274,0.811655,0.110373,0.01,0,0,#ff0000
POS-0301-886-CBD-67026,circle,0.647274,0.815,0.11038,0.01,0,0,#ff0000
POS-0301-886-CBD-67026,circle,0.647274,0.815,0.11038,0.01,0,0,#ff0000
POS-0301-886-CBD-67026,circle,0.647274,0.815,0.11038,0.01,0,0,#ff0000
POS-0204-886-CBD-67026,circle,0.659,0.81637,0.110409,0.01,0,0,#ff0000
POS-0204-886-CBD-67026,circle,0.659,0.81637,0.110409,0.01,0,0,#ff0000
POS-0205-886-CBD-67026,circle,0.662,0.81637,0.110415,0.01,0,0,#ff0000
POS-0205-886-CBD-67026,circle,0.662,0.81637,0.110415,0.01,0,0,#ff0000
POS-0206-886-CBD-67026,circle,0.668,0.81637,0.110427,0.01,0,0,#ff0000
POS-0206-886-CBD-67026,circle,0.668,0.81637,0.110427,0.01,0,0,#ff0000
POS-0203-886-CBD-67026,circle,0.6535,0.81637,0.110397,0.01,0,0,#ff0000
POS-0203-886-CBD-67026,circle,0.6535,0.81637,0.110397,0.01,0,0,#ff0000
POS-0209-886-CBD-67026,circle,0.67127,0.839,0.11185,0.01,0,0,#ff0000
POS-0207-886-CBD-67026,circle,0.67127,0.827,0.111825,0.01,0,0,#ff0000
POS-0207-886-CBD-67026,circle,0.67127,0.827,0.111825,0.01,0,0,#ff0000
POS-0208-886-CBD-67026,circle,0.67127,0.833,0.111838,0.01,0,0,#ff0000
POS-0208-886-CBD-67026,circle,0.67127,0.833,0.111838,0.01,0,0,#ff0000
